name,address
t Tabakje,Zwaanshals 420, Rotterdam, 3035KT, The Netherlands
Natuurstad - de Wilgenhof,Ringdijk 76, Rotterdam, 3054KV, The Netherlands
Nieuw Mos,Leusderweg 21/27, Amersfoort, 3811NK, The Netherlands
Onderdelenshop De Bilt,Hessenweg 164, De Bilt, 3731JN, The Netherlands
Party&More,Noarder Stasjonsstrjitte 40b, De Westereen, 9271CK, The Netherlands
pipoos Amsterdam West,Jan Pieter Heijestraat 182-184, Amsterdam, 1054MN, The Netherlands
Polly,Oudestraat 21, Assen, 9401EH, The Netherlands
Pooja Super Store,1e Graaf van Loonstraat 1E, Venlo, 5921JA, The Netherlands
Primera Duiven,Elshofpassage 42, Duiven, 6921BB, The Netherlands
Primera Passewaay,Kamperfoelie 16, Tiel, 4007TL, The Netherlands
Primera Ron Wolf,Dommer van Poldersveldtweg 271, Nijmegen, 6523CW, The Netherlands
Primera Stationskwartier,De Arend 7, Kampen, 8265NK, The Netherlands
Primera Weesp,Amstellandlaan 12, Weesp, 1382AX, The Netherlands
Punt Uit E-Fulfilment,Nieuw Amsterdamsestraat 40, Emmen, 7814VA, The Netherlands
Qeees,Branderweg 1D, Zwolle, 8042PD, The Netherlands
Re-Cycled ICT,Zwanenveld 9020, Nijmegen, 6538SB, The Netherlands
Regverdig,Over de Kelders 2, Leeuwarden, 8911JE, The Netherlands
ReShare Store Rotterdam,Korte Hoogstraat 11-13, Rotterdam, 3011GJ, The Netherlands
Restore Ede,Hoefweg 2, Ede, 6717LS, The Netherlands
Restore Veenendaal,Groeneveldselaan 14, Veenendaal, 3903AZ, The Netherlands
Romofashion,Hoofdstraat 22, Oldemarkt, 8375AP, The Netherlands
rotterzwam,Schiehaven 26, Rotterdam, 3024EC, The Netherlands
RoZus Bloemen en planten,Runneboom 14, Warnsveld, 7232CW, The Netherlands
RUDEBO,It Gruthof 2c, Makkum, 8754GZ, The Netherlands
Shop in Shop Vleuten,Hindersteinlaan 15, Utrecht, 3451EV, The Netherlands
Skyway Communication,Nieuwe Binnenweg 319-A, Rotterdam, 3021GH, The Netherlands
SoMuch Fashion,Wettertoer 17, Heerenveen, 8442PC, The Netherlands
Sportcentrum Valkenhuizen,Beukenlaan 15, Arnhem, 6823MA, The Netherlands
Stadsboerderij Herweijerhoeve,Anna Polakweg 7, Den Haag, 2533SW, The Netherlands
Stadsboerderij Landzigt,Aristoteleslaan 143, Den Haag, 2493ZN, The Netherlands
Stadsboerderij Molenweide,Stuwstraat 31, Den Haag, 2516TA, The Netherlands
Stadsboerderij Op den Dijk,Bovendijk 141 - 143, Den Haag, 2548AX, The Netherlands
Stadshart Amstelveen,Rembrandtweg 41a, Amstelveen, 1181GE, The Netherlands
Steck Utrecht,Gageldijk 3, Utrecht, 3566ME, The Netherlands
Stichting Kringloop Zwolle Ceintuurbaan,Ceintuurbaan 48, Zwolle, 8024AA, The Netherlands
Stichting Kringloop Zwolle Nieuwe Deventerweg,Nieuwe Deventerweg 6, Zwolle, 8014AG, The Netherlands
Stichting Kringloop Zwolle Nieuwe Veerallee,Nieuwe Veerallee 12, Zwolle, 8019AG, The Netherlands
Stichting Welkom,Nijverheidsweg 17, IJsselstein, 3401MC, The Netherlands
Studenten Bikeshop,Karrengas 26, Nijmegen, 6511GS, The Netherlands
Swan Market,Witte de Withstraat 23A, Rotterdam, 3012BL, The Netherlands
Taartdecoratief,Tuinstraat 75, Veenendaal, 3901RA, The Netherlands
Tabak & ToGo,Vierambachtsstraat 3, Rotterdam, 3022AA, The Netherlands
Tabakshop Java,Javastraat 77, Amsterdam, 1094HB, The Netherlands
Tabakshop Rex,Dapperstraat 9, Amsterdam, 1093AG, The Netherlands
Taxi Don,Raaigras 91, Leeuwarden, 8935EX, The Netherlands
Telefoon Reparatie Ede,Bellestein 15, Ede, 6714DP, The Netherlands
Tessa's Dierenspeciaalzaak,Dorpsstraat 151, Scherpenzeel, 3925KA, The Netherlands
The New Farm,Televisiestraat 2, Den Haag, 2525KD, The Netherlands
The Point Koperwiek,Koperwiek 47, Capelle aan den IJssel, 2903AD, The Netherlands
The Point Nieuwegein,Plein 12a, Nieuwegein, 3431LV, The Netherlands
The Read Shop Castellum,Cardo 19, Houten, 3995XJ, The Netherlands
The Read Shop Oude Dorp,Plein 11, Houten, 3991DK, The Netherlands
Tijdschriftenhandel De Berkel,Groenmarkt 4, Zutphen, 7201HX, The Netherlands
Toffe Zaken,Gedempte Haven 22, Grou, 9001AX, The Netherlands
Top1Toys Burgum,Schoolstraat 64, Burgum, 9251ED, The Netherlands
Ugarit minimarket,Verlengde Hereweg 76-1, Groningen, 9722AG, The Netherlands
ViaTim & Betsy,Meerlandpad 8, Arnhem, 6835BV, The Netherlands
ViaTim en A&B,Gansstraat 106, Utrecht, 3582EL, The Netherlands
ViaTim en Dees,Maaspad 3, Nieuwegein, 3433BL, The Netherlands
ViaTim en Ester,Uilenhorst 3, Leiden, 2317ZS, The Netherlands
ViaTim en Henk,Kapelstraat 62, Arnhem, 6822AW, The Netherlands
ViaTim Hoofdkantoor,Vlaardingweg 62, Rotterdam, 3044CK, The Netherlands
ViaTim XL Parcelshop,Vasteland 27, Rotterdam, 3011BJ, The Netherlands
Vondst,Arent Krijtsstraat 14, Diemen, 1111AG, The Netherlands
W70.Club,Weena 70, Rotterdam, 3012CM, The Netherlands
Walhalla,Nieuwe Ebbingestraat 38, Groningen, 9712NL, The Netherlands
WearWear,Mondriaanplein 20, Emmen, 7811DH, The Netherlands
Westfield Mall of the Netherlands,Eglantier 1C, Leidschendam, 2262AP, The Netherlands
What2Wear bij Gea,Dorpsstraat 47, Woudenberg, 3931EE, The Netherlands
Wieleroutfits Ouderkerk aan de Amstel,Hoger Einde-Zuid 13, Ouderkerk aan de Amstel, 1191AG, The Netherlands
Wijkcentrum Binnenbos,Hoog Kanje 168H, Zeist, 3708DL, The Netherlands
Wijkcentrum de Groene Stee,Wiekslag 92, Amersfoort, 3815GS, The Netherlands
Winkel Van Waarde,Eiland 8, Zwolle, 8011XR, The Netherlands
Winkeltje van Madame,Weverstraat 5, Oosterbeek, 6862DJ, The Netherlands
Wouter Reclame,Kazemat 10, Veenendaal, 3905NR, The Netherlands
You Mobile,Augustijnenstraat 17, Nijmegen, 6511KD, The Netherlands
Zie Je Zo,Frederik van de Paltshof 36, Rhenen, 3911LB, The Netherlands
Zorgwinkel Millingen,Burgemeester Eijckelhofstraat 1A, Millingen aan de Rijn, 6566AR, The Netherlands



